datetime,baseline,e,n,u,distance_m,nominal_distance_m,q,ns,status
04/09/2026 13:05:42.000,5000-5002,-0.2595,-0.0768,0.0047,0.2707,0.28,1,14,normal
04/09/2026 13:05:43.000,5000-5001,0.2662,0.1063,0.0089,0.2868,0.28,1,14,normal
04/09/2026 13:05:43.000,5000-5002,-0.2596,-0.075,0.0128,0.2705,0.28,1,14,normal
04/09/2026 13:05:44.000,5000-5002,-0.2589,-0.0769,0.0098,0.2703,0.28,1,14,normal
04/09/2026 13:05:44.000,5000-5001,0.2677,0.1055,0.0077,0.2878,0.28,1,14,normal
04/09/2026 13:05:45.000,5000-5002,-0.2611,-0.076,0.0104,0.2721,0.28,1,14,normal
04/09/2026 13:05:45.000,5000-5001,0.2657,0.1057,0.0067,0.286,0.28,1,14,normal
04/09/2026 13:05:46.000,5000-5001,0.2663,0.1044,0.0064,0.2861,0.28,1,14,normal
04/09/2026 13:05:46.000,5000-5002,-0.2596,-0.0775,0.0075,0.271,0.28,1,14,normal
04/09/2026 13:05:47.000,5000-5002,-0.2608,-0.0755,0.007,0.2716,0.28,1,14,normal
04/09/2026 13:05:47.000,5000-5001,0.2654,0.1055,0.0086,0.2857,0.28,1,14,normal
04/09/2026 13:05:48.000,5000-5001,0.2662,0.1059,0.0102,0.2867,0.28,1,14,normal
04/09/2026 13:05:48.000,5000-5002,-0.2601,-0.0754,0.0116,0.2711,0.28,1,14,normal
04/09/2026 13:05:49.000,5000-5001,0.2667,0.1042,0.0103,0.2865,0.28,1,14,normal
04/09/2026 13:05:49.000,5000-5002,-0.26,-0.0743,0.0089,0.2706,0.28,1,14,normal
04/09/2026 13:05:50.000,5000-5001,0.2663,0.1066,0.0068,0.2869,0.28,1,14,normal
04/09/2026 13:05:50.000,5000-5002,-0.2595,-0.0753,0.0072,0.2703,0.28,1,14,normal
04/09/2026 13:05:51.000,5000-5002,-0.2596,-0.077,0.0097,0.271,0.28,1,14,normal
04/09/2026 13:05:51.000,5000-5001,0.2656,0.105,0.0099,0.2858,0.28,1,14,normal
04/09/2026 13:05:52.000,5000-5002,-0.2584,-0.0748,0.0109,0.2692,0.28,1,14,normal
04/09/2026 13:05:52.000,5000-5001,0.2672,0.1074,0.0081,0.2881,0.28,1,14,normal
04/09/2026 13:05:53.000,5000-5002,-0.2609,-0.0771,0.0055,0.2721,0.28,1,14,normal
04/09/2026 13:05:53.000,5000-5001,0.2672,0.1047,0.0047,0.287,0.28,1,14,normal
04/09/2026 13:05:54.000,5000-5001,0.2651,0.1057,0.0015,0.2854,0.28,1,14,normal
04/09/2026 13:05:54.000,5000-5002,-0.2607,-0.0754,0.0038,0.2714,0.28,1,14,normal
04/09/2026 13:05:55.000,5000-5002,-0.2619,-0.0756,0.0073,0.2727,0.28,1,14,normal
04/09/2026 13:05:55.000,5000-5001,0.2658,0.1066,0.0049,0.2864,0.28,1,14,normal
04/09/2026 13:05:56.000,5000-5001,0.2671,0.1067,0.0047,0.2877,0.28,1,14,normal
